,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Albania,Tomatoes,1990,36613,1485,121,16.37
1,Albania,Potatoes,1990,66667,1485,121,16.37
2,Albania,Carrots,1990,23333,1485,121,16.37
3,Albania,Broccoli,1990,12500,1485,121,16.37
4,Albania,Cucumbers,1990,7000,1485,121,16.37
5,Albania,Bell Peppers,1990,30197,1485,121,16.37
6,Albania,Tomatoes,1991,29068,1485,121,15.36
7,Albania,Potatoes,1991,77818,1485,121,15.36
8,Albania,Carrots,1991,28538,1485,121,15.36
9,Albania,Broccoli,1991,6667,1485,121,15.36
10,Albania,Cucumbers,1991,6066,1485,121,15.36
11,Albania,Bell Peppers,1991,20698,1485,121,15.36
12,Albania,Tomatoes,1992,24876,1485,121,16.06
13,Albania,Potatoes,1992,82920,1485,121,16.06
14,Albania,Carrots,1992,40000,1485,121,16.06
15,Albania,Broccoli,1992,3747,1485,121,16.06
16,Albania,Cucumbers,1992,4507,1485,121,16.06
17,Albania,Bell Peppers,1992,24388,1485,121,16.06
18,Albania,Tomatoes,1993,24185,1485,121,16.05
19,Albania,Potatoes,1993,98446,1485,121,16.05
20,Albania,Carrots,1993,41786,1485,121,16.05
21,Albania,Cucumbers,1993,7998,1485,121,16.05
22,Albania,Bell Peppers,1993,29976,1485,121,16.05
23,Albania,Tomatoes,1994,25848,1485,201,16.96
24,Albania,Potatoes,1994,81404,1485,201,16.96
25,Albania,Cucumbers,1994,7927,1485,201,16.96
26,Albania,Bell Peppers,1994,24745,1485,201,16.96
27,Albania,Tomatoes,1995,31300,1485,251,15.67
28,Albania,Potatoes,1995,111323,1485,251,15.67
29,Albania,Cucumbers,1995,11791,1485,251,15.67
30,Albania,Bell Peppers,1995,28703,1485,251,15.67
31,Albania,Tomatoes,1996,32604,1485,313.96,15.64
32,Albania,Potatoes,1996,106138,1485,313.96,15.64
33,Albania,Cucumbers,1996,15480,1485,313.96,15.64
34,Albania,Bell Peppers,1996,21741,1485,313.96,15.64
35,Albania,Tomatoes,1997,31862,1485,376.93,15.9
36,Albania,Potatoes,1997,109874,1485,376.93,15.9
37,Albania,Cucumbers,1997,12768,1485,376.93,15.9
38,Albania,Bell Peppers,1997,28516,1485,376.93,15.9
39,Albania,Tomatoes,1998,33416,1485,439.89,16.27
40,Albania,Potatoes,1998,127212,1485,439.89,16.27
41,Albania,Cucumbers,1998,14327,1485,439.89,16.27
42,Albania,Bell Peppers,1998,28037,1485,439.89,16.27
43,Albania,Tomatoes,1999,37455,1485,502.86,16.57
44,Albania,Potatoes,1999,142018,1485,502.86,16.57
45,Albania,Cucumbers,1999,17143,1485,502.86,16.57
46,Albania,Bell Peppers,1999,24954,1485,502.86,16.57
47,Albania,Tomatoes,2000,38811,1485,565.82,16.67
48,Albania,Potatoes,2000,141228,1485,565.82,16.67
49,Albania,Cucumbers,2000,15000,1485,565.82,16.67
50,Albania,Bell Peppers,2000,30455,1485,565.82,16.67
51,Albania,Tomatoes,2001,38135,1485,628.79,16.59
52,Albania,Potatoes,2001,148818,1485,628.79,16.59
53,Albania,Cucumbers,2001,20000,1485,628.79,16.59
54,Albania,Bell Peppers,2001,28220,1485,628.79,16.59
55,Albania,Tomatoes,2002,39460,1485,691.75,16.47
56,Albania,Potatoes,2002,153868,1485,691.75,16.47
57,Albania,Cucumbers,2002,20000,1485,691.75,16.47
58,Albania,Bell Peppers,2002,31617,1485,691.75,16.47
59,Albania,Tomatoes,2004,46197,1485,817.68,16.16
60,Albania,Potatoes,2004,149346,1485,817.68,16.16
61,Albania,Cucumbers,2004,13333,1485,817.68,16.16
62,Albania,Bell Peppers,2004,31130,1485,817.68,16.16
63,Albania,Tomatoes,2005,45442,1485,880.64,15.67
64,Albania,Potatoes,2005,167061,1485,880.64,15.67
65,Albania,Cucumbers,2005,17500,1485,880.64,15.67
66,Albania,Bell Peppers,2005,31582,1485,880.64,15.67
67,Albania,Tomatoes,2006,50111,1485,943.61,15.92
68,Albania,Potatoes,2006,170745,1485,943.61,15.92
69,Albania,Cucumbers,2006,20000,1485,943.61,15.92
70,Albania,Bell Peppers,2006,30787,1485,943.61,15.92
71,Albania,Tomatoes,2007,46732,1485,1006.57,16.67
72,Albania,Potatoes,2007,188902,1485,1006.57,16.67
73,Albania,Cucumbers,2007,20000,1485,1006.57,16.67
74,Albania,Bell Peppers,2007,35496,1485,1006.57,16.67
75,Albania,Tomatoes,2008,50000,1485,1069.54,16.71
76,Albania,Potatoes,2008,193878,1485,1069.54,16.71
77,Albania,Cucumbers,2008,20000,1485,1069.54,16.71
78,Albania,Bell Peppers,2008,40168,1485,1069.54,16.71
79,Albania,Tomatoes,2009,55693,1485,1132.5,16.73
80,Albania,Potatoes,2009,219780,1485,1132.5,16.73
81,Albania,Cucumbers,2009,16667,1485,1132.5,16.73
82,Albania,Bell Peppers,2009,40229,1485,1132.5,16.73
83,Albania,Tomatoes,2010,66790,1485,1311.17,16.52
84,Albania,Potatoes,2010,231111,1485,1311.17,16.52
85,Albania,Cucumbers,2010,16667,1485,1311.17,16.52
86,Albania,Bell Peppers,2010,39905,1485,1311.17,16.52
87,Albania,Tomatoes,2011,59869,1485,1302.63,16.45
88,Albania,Potatoes,2011,242211,1485,1302.63,16.45
89,Albania,Cucumbers,2011,18519,1485,1302.63,16.45
90,Albania,Bell Peppers,2011,42301,1485,1302.63,16.45
91,Albania,Tomatoes,2012,67290,1485,766.25,16.7
92,Albania,Potatoes,2012,250538,1485,766.25,16.7
93,Albania,Cucumbers,2012,13333,1485,766.25,16.7
94,Albania,Bell Peppers,2012,41096,1485,766.25,16.7
95,Albania,Tomatoes,2013,69533,1485,982.32,17.41
96,Albania,Potatoes,2013,260110,1485,982.32,17.41
97,Albania,Cucumbers,2013,10000,1485,982.32,17.41
98,Albania,Bell Peppers,2013,41292,1485,982.32,17.41
99,Algeria,Tomatoes,1990,16500,89,1828.92,17.48
100,Algeria,Potatoes,1990,78936,89,1828.92,17.48
101,Algeria,Carrots,1990,28000,89,1828.92,17.48
102,Algeria,Broccoli,1990,16571,89,1828.92,17.48
103,Algeria,Bell Peppers,1990,6315,89,1828.92,17.48
104,Algeria,Tomatoes,1991,19231,89,2461.8,16.26
105,Algeria,Potatoes,1991,90747,89,2461.8,16.26
106,Algeria,Carrots,1991,26786,89,2461.8,16.26
107,Algeria,Broccoli,1991,24231,89,2461.8,16.26
108,Algeria,Bell Peppers,1991,10809,89,2461.8,16.26
109,Algeria,Tomatoes,1992,22828,89,1215.47,16.27
110,Algeria,Potatoes,1992,107917,89,1215.47,16.27
111,Algeria,Carrots,1992,24733,89,1215.47,16.27
112,Algeria,Broccoli,1992,40000,89,1215.47,16.27
113,Algeria,Bell Peppers,1992,9939,89,1215.47,16.27
114,Algeria,Tomatoes,1993,12500,89,1021.89,17
115,Algeria,Potatoes,1993,111215,89,1021.89,17
116,Algeria,Carrots,1993,23111,89,1021.89,17
117,Algeria,Broccoli,1993,50000,89,1021.89,17
118,Algeria,Bell Peppers,1993,8097,89,1021.89,17
119,Algeria,Tomatoes,1994,4512,89,1255.02,17.88
120,Algeria,Potatoes,1994,95078,89,1255.02,17.88
121,Algeria,Carrots,1994,21374,89,1255.02,17.88
122,Algeria,Bell Peppers,1994,7999,89,1255.02,17.88
123,Algeria,Tomatoes,1995,16115,89,2697.09,17.36
124,Algeria,Potatoes,1995,136768,89,2697.09,17.36
125,Algeria,Carrots,1995,19598,89,2697.09,17.36
126,Algeria,Broccoli,1995,12667,89,2697.09,17.36
127,Algeria,Bell Peppers,1995,8924,89,2697.09,17.36
128,Algeria,Tomatoes,1996,17154,89,479.77,16.76
129,Algeria,Potatoes,1996,134629,89,479.77,16.76
130,Algeria,Carrots,1996,17861,89,479.77,16.76
131,Algeria,Broccoli,1996,14750,89,479.77,16.76
132,Algeria,Bell Peppers,1996,13090,89,479.77,16.76
133,Algeria,Tomatoes,1997,21417,89,401.22,17.84
134,Algeria,Potatoes,1997,141042,89,401.22,17.84
135,Algeria,Carrots,1997,15000,89,401.22,17.84
136,Algeria,Broccoli,1997,40000,89,401.22,17.84
137,Algeria,Bell Peppers,1997,8016,89,401.22,17.84
138,Algeria,Tomatoes,1998,17222,89,322.84,17.14
139,Algeria,Potatoes,1998,160256,89,322.84,17.14
140,Algeria,Carrots,1998,15000,89,322.84,17.14
141,Algeria,Broccoli,1998,24500,89,322.84,17.14
142,Algeria,Bell Peppers,1998,8847,89,322.84,17.14
143,Algeria,Tomatoes,1999,22375,89,654.45,17.97
144,Algeria,Potatoes,1999,153532,89,654.45,17.97
145,Algeria,Carrots,1999,13942,89,654.45,17.97
146,Algeria,Broccoli,1999,27000,89,654.45,17.97
147,Algeria,Bell Peppers,1999,10711,89,654.45,17.97
148,Algeria,Tomatoes,2000,36186,89,603.67,17.9
149,Algeria,Potatoes,2000,166143,89,603.67,17.9
150,Algeria,Carrots,2000,13052,89,603.67,17.9
151,Algeria,Broccoli,2000,69500,89,603.67,17.9
152,Algeria,Bell Peppers,2000,9194,89,603.67,17.9
153,Algeria,Tomatoes,2001,27175,89,710.11,18.13
154,Algeria,Potatoes,2001,147018,89,710.11,18.13
155,Algeria,Carrots,2001,12314,89,710.11,18.13
156,Algeria,Broccoli,2001,27750,89,710.11,18.13
157,Algeria,Bell Peppers,2001,11104,89,710.11,18.13
158,Algeria,Tomatoes,2002,33480,89,816.55,17.85
159,Algeria,Potatoes,2002,183774,89,816.55,17.85
160,Algeria,Carrots,2002,12959,89,816.55,17.85
161,Algeria,Broccoli,2002,33900,89,816.55,17.85
162,Algeria,Bell Peppers,2002,10739,89,816.55,17.85
163,Algeria,Tomatoes,2004,31729,89,3747.86,17.38
164,Algeria,Potatoes,2004,203585,89,3747.86,17.38
165,Algeria,Carrots,2004,12829,89,3747.86,17.38
166,Algeria,Broccoli,2004,43316,89,3747.86,17.38
167,Algeria,Bell Peppers,2004,13582,89,3747.86,17.38
168,Algeria,Tomatoes,2005,33864,89,3662.87,17.19
169,Algeria,Potatoes,2005,216267,89,3662.87,17.19
170,Algeria,Carrots,2005,12998,89,3662.87,17.19
171,Algeria,Broccoli,2005,33486,89,3662.87,17.19
172,Algeria,Bell Peppers,2005,15057,89,3662.87,17.19
173,Algeria,Tomatoes,2006,65668,89,4110.72,18.13
174,Algeria,Potatoes,2006,220689,89,4110.72,18.13
175,Algeria,Carrots,2006,12769,89,4110.72,18.13
176,Algeria,Broccoli,2006,56728,89,4110.72,18.13
177,Algeria,Bell Peppers,2006,15068,89,4110.72,18.13
178,Algeria,Tomatoes,2007,85625,89,5390.79,17.42
179,Algeria,Potatoes,2007,189927,89,5390.79,17.42
180,Algeria,Carrots,2007,13375,89,5390.79,17.42
181,Algeria,Broccoli,2007,119059,89,5390.79,17.42
182,Algeria,Bell Peppers,2007,12742,89,5390.79,17.42
183,Algeria,Tomatoes,2008,44714,89,11556.12,17.55
184,Algeria,Potatoes,2008,236393,89,11556.12,17.55
185,Algeria,Carrots,2008,13952,89,11556.12,17.55
186,Algeria,Broccoli,2008,61786,89,11556.12,17.55
187,Algeria,Bell Peppers,2008,11038,89,11556.12,17.55
188,Algeria,Tomatoes,2009,30914,89,3867.99,17.78
189,Algeria,Potatoes,2009,250764,89,3867.99,17.78
190,Algeria,Carrots,2009,14594,89,3867.99,17.78
191,Algeria,Broccoli,2009,90465,89,3867.99,17.78
192,Algeria,Bell Peppers,2009,15975,89,3867.99,17.78
193,Algeria,Tomatoes,2010,25827,89,1295.88,17.59
194,Algeria,Potatoes,2010,270526,89,1295.88,17.59
195,Algeria,Carrots,2010,15305,89,1295.88,17.59
196,Algeria,Broccoli,2010,30286,89,1295.88,17.59
197,Algeria,Bell Peppers,2010,14838,89,1295.88,17.59
198,Algeria,Tomatoes,2011,23374,89,13861.76,17.79
199,Algeria,Potatoes,2011,292806,89,13861.76,17.79
200,Algeria,Carrots,2011,16081,89,13861.76,17.79
201,Algeria,Broccoli,2011,100000,89,13861.76,17.79
202,Algeria,Bell Peppers,2011,17405,89,13861.76,17.79
203,Algeria,Tomatoes,2012,25583,89,17379.76,17.91
204,Algeria,Potatoes,2012,304291,89,17379.76,17.91
205,Algeria,Carrots,2012,16667,89,17379.76,17.91
206,Algeria,Broccoli,2012,206000,89,17379.76,17.91
207,Algeria,Bell Peppers,2012,17639,89,17379.76,17.91
208,Algeria,Tomatoes,2013,33649,89,17278.65,17.65
209,Algeria,Potatoes,2013,303218,89,17278.65,17.65
210,Algeria,Carrots,2013,17778,89,17278.65,17.65
211,Algeria,Broccoli,2013,60000,89,17278.65,17.65
212,Algeria,Bell Peppers,2013,19100,89,17278.65,17.65
213,Angola,Potatoes,1990,41177,1010,64,24.12
214,Angola,Tomatoes,1990,2736,1010,64,24.12
215,Angola,Potatoes,1990,40000,1010,64,24.12
216,Angola,Carrots,1990,9512,1010,64,24.12
217,Angola,Spinach,1990,89342,1010,64,24.12
218,Angola,Bell Peppers,1990,7995,1010,64,24.12
219,Angola,Potatoes,1991,40295,1010,79,24.02
220,Angola,Tomatoes,1991,4013,1010,79,24.02
221,Angola,Potatoes,1991,40000,1010,79,24.02
222,Angola,Carrots,1991,10000,1010,79,24.02
223,Angola,Spinach,1991,83001,1010,79,24.02
224,Angola,Bell Peppers,1991,8000,1010,79,24.02
225,Angola,Potatoes,1992,42295,1010,23,23.96
226,Angola,Tomatoes,1992,3778,1010,23,23.96
227,Angola,Potatoes,1992,40000,1010,23,23.96
228,Angola,Carrots,1992,9106,1010,23,23.96
229,Angola,Spinach,1992,90000,1010,23,23.96
230,Angola,Bell Peppers,1992,8000,1010,23,23.96
231,Angola,Potatoes,1993,42295,1010,169,24.15
232,Angola,Tomatoes,1993,2627,1010,169,24.15
233,Angola,Potatoes,1993,70000,1010,169,24.15
234,Angola,Carrots,1993,8000,1010,169,24.15
235,Angola,Spinach,1993,88095,1010,169,24.15
236,Angola,Bell Peppers,1993,8876,1010,169,24.15
237,Angola,Potatoes,1994,58596,1010,25.5,24.04
238,Angola,Tomatoes,1994,2463,1010,25.5,24.04
239,Angola,Potatoes,1994,90000,1010,25.5,24.04
240,Angola,Carrots,1994,8750,1010,25.5,24.04
241,Angola,Spinach,1994,83192,1010,25.5,24.04
242,Angola,Bell Peppers,1994,10000,1010,25.5,24.04
243,Angola,Potatoes,1995,51000,1010,336,24.56
244,Angola,Tomatoes,1995,3517,1010,336,24.56
245,Angola,Potatoes,1995,76738,1010,336,24.56
246,Angola,Carrots,1995,14615,1010,336,24.56
247,Angola,Spinach,1995,81138,1010,336,24.56
248,Angola,Bell Peppers,1995,11855,1010,336,24.56
249,Angola,Potatoes,1996,48077,1010,40,24.11
250,Angola,Tomatoes,1996,6993,1010,40,24.11
251,Angola,Potatoes,1996,70000,1010,40,24.11
252,Angola,Carrots,1996,17500,1010,40,24.11
253,Angola,Spinach,1996,85455,1010,40,24.11
254,Angola,Bell Peppers,1996,13738,1010,40,24.11
255,Angola,Potatoes,1997,44205,1010,40,24.06
256,Angola,Tomatoes,1997,5959,1010,40,24.06
257,Angola,Potatoes,1997,68571,1010,40,24.06
258,Angola,Carrots,1997,20000,1010,40,24.06
259,Angola,Spinach,1997,78098,1010,40,24.06
260,Angola,Bell Peppers,1997,15509,1010,40,24.06
261,Angola,Potatoes,1998,55728,1010,40,24.96
262,Angola,Tomatoes,1998,7396,1010,40,24.96
263,Angola,Potatoes,1998,62724,1010,40,24.96
264,Angola,Carrots,1998,20000,1010,40,24.96
265,Angola,Spinach,1998,76256,1010,40,24.96
266,Angola,Bell Peppers,1998,17143,1010,40,24.96
267,Angola,Potatoes,1999,59821,1010,40,24.37
268,Angola,Tomatoes,1999,6361,1010,40,24.37
269,Angola,Potatoes,1999,54597,1010,40,24.37
270,Angola,Carrots,1999,14235,1010,40,24.37
271,Angola,Spinach,1999,82865,1010,40,24.37
272,Angola,Bell Peppers,1999,17391,1010,40,24.37
273,Angola,Potatoes,2000,82992,1010,40,24.41
274,Angola,Tomatoes,2000,5745,1010,40,24.41
275,Angola,Potatoes,2000,29885,1010,40,24.41
276,Angola,Carrots,2000,13454,1010,40,24.41
277,Angola,Broccoli,2000,3333,1010,40,24.41
278,Angola,Cucumbers,2000,2333,1010,40,24.41
279,Angola,Spinach,2000,34938,1010,40,24.41
280,Angola,Bell Peppers,2000,17023,1010,40,24.41
281,Angola,Potatoes,2001,94072,1010,40,24.43
282,Angola,Tomatoes,2001,5754,1010,40,24.43
283,Angola,Potatoes,2001,42552,1010,40,24.43
284,Angola,Carrots,2001,13701,1010,40,24.43
285,Angola,Broccoli,2001,3571,1010,40,24.43
286,Angola,Cucumbers,2001,2500,1010,40,24.43
287,Angola,Spinach,2001,44458,1010,40,24.43
288,Angola,Bell Peppers,2001,16667,1010,40,24.43
289,Angola,Potatoes,2002,110071,1010,40,24.79
290,Angola,Tomatoes,2002,6706,1010,40,24.79
291,Angola,Potatoes,2002,42754,1010,40,24.79
292,Angola,Carrots,2002,13198,1010,40,24.79
293,Angola,Broccoli,2002,3400,1010,40,24.79
294,Angola,Cucumbers,2002,2857,1010,40,24.79
295,Angola,Spinach,2002,42190,1010,40,24.79
296,Angola,Bell Peppers,2002,15455,1010,40,24.79
297,Angola,Potatoes,2004,125605,1010,40,24.22
298,Angola,Tomatoes,2004,5404,1010,40,24.22
299,Angola,Potatoes,2004,20150,1010,40,24.22
300,Angola,Carrots,2004,11584,1010,40,24.22
301,Angola,Broccoli,2004,3333,1010,40,24.22
302,Angola,Cucumbers,2004,3600,1010,40,24.22
303,Angola,Spinach,2004,45360,1010,40,24.22
304,Angola,Bell Peppers,2004,12442,1010,40,24.22
305,Angola,Potatoes,2005,117628,1010,40,24.41
306,Angola,Tomatoes,2005,6736,1010,40,24.41
307,Angola,Potatoes,2005,23646,1010,40,24.41
308,Angola,Carrots,2005,6977,1010,40,24.41
309,Angola,Broccoli,2005,3333,1010,40,24.41
310,Angola,Cucumbers,2005,3793,1010,40,24.41
311,Angola,Spinach,2005,46159,1010,40,24.41
312,Angola,Bell Peppers,2005,10946,1010,40,24.41
313,Angola,Potatoes,2006,117201,1010,40,24.14
314,Angola,Tomatoes,2006,4687,1010,40,24.14
315,Angola,Potatoes,2006,52148,1010,40,24.14
316,Angola,Carrots,2006,4947,1010,40,24.14
317,Angola,Broccoli,2006,4091,1010,40,24.14
318,Angola,Cucumbers,2006,4286,1010,40,24.14
319,Angola,Spinach,2006,44240,1010,40,24.14
320,Angola,Bell Peppers,2006,10000,1010,40,24.14
321,Angola,Potatoes,2007,115387,1010,40,24.24
322,Angola,Tomatoes,2007,5091,1010,40,24.24
323,Angola,Potatoes,2007,62138,1010,40,24.24
324,Angola,Carrots,2007,5143,1010,40,24.24
325,Angola,Broccoli,2007,4031,1010,40,24.24
326,Angola,Cucumbers,2007,6883,1010,40,24.24
327,Angola,Spinach,2007,58855,1010,40,24.24
328,Angola,Bell Peppers,2007,10000,1010,40,24.24
329,Angola,Potatoes,2008,148084,1010,40,24.27
330,Angola,Tomatoes,2008,7946,1010,40,24.27
331,Angola,Potatoes,2008,85085,1010,40,24.27
332,Angola,Carrots,2008,5084,1010,40,24.27
333,Angola,Broccoli,2008,929,1010,40,24.27
334,Angola,Cucumbers,2008,8575,1010,40,24.27
335,Angola,Spinach,2008,65437,1010,40,24.27
336,Angola,Bell Peppers,2008,10000,1010,40,24.27
337,Angola,Potatoes,2009,151759,1010,40,24.33
338,Angola,Tomatoes,2009,6614,1010,40,24.33
339,Angola,Potatoes,2009,86509,1010,40,24.33
340,Angola,Carrots,2009,6028,1010,40,24.33
341,Angola,Broccoli,2009,2480,1010,40,24.33
342,Angola,Cucumbers,2009,4449,1010,40,24.33
343,Angola,Spinach,2009,66475,1010,40,24.33
344,Angola,Bell Peppers,2009,10000,1010,40,24.33
345,Angola,Potatoes,2010,155782,1010,40,24.44
346,Angola,Tomatoes,2010,7200,1010,40,24.44
347,Angola,Potatoes,2010,87425,1010,40,24.44
348,Angola,Carrots,2010,7403,1010,40,24.44
349,Angola,Broccoli,2010,2814,1010,40,24.44
350,Angola,Cucumbers,2010,4446,1010,40,24.44
351,Angola,Spinach,2010,63001,1010,40,24.44
352,Angola,Bell Peppers,2010,10526,1010,40,24.44
353,Angola,Potatoes,2011,133649,1010,40,24.15
354,Angola,Tomatoes,2011,7376,1010,40,24.15
355,Angola,Potatoes,2011,81366,1010,40,24.15
356,Angola,Carrots,2011,8914,1010,40,24.15
357,Angola,Broccoli,2011,3320,1010,40,24.15
358,Angola,Cucumbers,2011,5294,1010,40,24.15
359,Angola,Spinach,2011,65512,1010,40,24.15
360,Angola,Bell Peppers,2011,10959,1010,40,24.15
361,Angola,Potatoes,2012,100073,1010,40,24.24
362,Angola,Tomatoes,2012,7770,1010,40,24.24
363,Angola,Potatoes,2012,69381,1010,40,24.24
364,Angola,Carrots,2012,7703,1010,40,24.24
